chuukese_word,english_translation,definition,grammar,type,source,collection
ipúkú engol me fisu,117,ordinal number,number,word,,dictionary
ipúkú engol me wanu / wálú,118,ordinal number,number,word,,dictionary
ipúkú engol me tiu,119,ordinal number,number,word,,dictionary
ipúkú rúe,120,ordinal number,number,word,,dictionary
ipúkú rúe me eú / ew,121,ordinal number,number,word,,dictionary
ipúkú rúe me rúú,122,ordinal number,number,word,,dictionary
ipúkú rúe me ulungat / unungat / únúngat,123,ordinal number,number,word,,dictionary
ipúkú rúe me rúánú,124,ordinal number,number,word,,dictionary
ipúkú rúe me nimu,125,ordinal number,number,word,,dictionary
ipúkú rúe me wonu / onu,126,ordinal number,number,word,,dictionary
ipúkú rúe me fisu,127,ordinal number,number,word,,dictionary
ipúkú rúe me wanu / wálú,128,ordinal number,number,word,,dictionary
ipúkú rúe me tiu,129,ordinal number,number,word,,dictionary
ipúkú inik,130,ordinal number,number,word,,dictionary
ipúkú inik me eú / ew,131,ordinal number,number,word,,dictionary
ipúkú inik me rúú,132,ordinal number,number,word,,dictionary
ipúkú inik me ulungat / unungat / únúngat,133,ordinal number,number,word,,dictionary
ipúkú inik me rúánú,134,ordinal number,number,word,,dictionary
ipúkú inik me nimu,135,ordinal number,number,word,,dictionary
ipúkú inik me wonu / onu,136,ordinal number,number,word,,dictionary
ipúkú inik me fisu,137,ordinal number,number,word,,dictionary
ipúkú inik me wanu / wálú,138,ordinal number,number,word,,dictionary
ipúkú inik me tiu,139,ordinal number,number,word,,dictionary
ipúkú fáik,140,ordinal number,number,word,,dictionary
ipúkú fáik me eú / ew,141,ordinal number,number,word,,dictionary
ipúkú fáik me rúú,142,ordinal number,number,word,,dictionary
ipúkú fáik me ulungat / unungat / únúngat,143,ordinal number,number,word,,dictionary
ipúkú fáik me rúánú,144,ordinal number,number,word,,dictionary
ipúkú fáik me nimu,145,ordinal number,number,word,,dictionary
ipúkú fáik me wonu / onu,146,ordinal number,number,word,,dictionary
ipúkú fáik me fisu,147,ordinal number,number,word,,dictionary
ipúkú fáik me wanu / wálú,148,ordinal number,number,word,,dictionary
ipúkú fáik me tiu,149,ordinal number,number,word,,dictionary
ipúkú time,150,ordinal number,number,word,,dictionary
ipúkú time me eú / ew,151,ordinal number,number,word,,dictionary
ipúkú time me rúú,152,ordinal number,number,word,,dictionary
ipúkú time me ulungat / unungat / únúngat,153,ordinal number,number,word,,dictionary
ipúkú time me rúánú,154,ordinal number,number,word,,dictionary
ipúkú time me nimu,155,ordinal number,number,word,,dictionary
ipúkú time me wonu / onu,156,ordinal number,number,word,,dictionary
ipúkú time me fisu,157,ordinal number,number,word,,dictionary
ipúkú time me wanu / wálú,158,ordinal number,number,word,,dictionary
ipúkú time me tiu,159,ordinal number,number,word,,dictionary
ipúkú wine,160,ordinal number,number,word,,dictionary
ipúkú wine me eú / ew,161,ordinal number,number,word,,dictionary
ipúkú wine me rúú,162,ordinal number,number,word,,dictionary
ipúkú wine me ulungat / unungat / únúngat,163,ordinal number,number,word,,dictionary
ipúkú wine me rúánú,164,ordinal number,number,word,,dictionary
ipúkú wine me nimu,165,ordinal number,number,word,,dictionary
ipúkú wine me wonu / onu,166,ordinal number,number,word,,dictionary
ipúkú wine me fisu,167,ordinal number,number,word,,dictionary
ipúkú wine me wanu / wálú,168,ordinal number,number,word,,dictionary
ipúkú wine me tiu,169,ordinal number,number,word,,dictionary
ipúkú fiik,170,ordinal number,number,word,,dictionary
ipúkú fiik me eú / ew,171,ordinal number,number,word,,dictionary
ipúkú fiik me rúú,172,ordinal number,number,word,,dictionary
ipúkú fiik me ulungat / unungat / únúngat,173,ordinal number,number,word,,dictionary
ipúkú fiik me rúánú,174,ordinal number,number,word,,dictionary
ipúkú fiik me nimu,175,ordinal number,number,word,,dictionary
ipúkú fiik me wonu / onu,176,ordinal number,number,word,,dictionary
ipúkú fiik me fisu,177,ordinal number,number,word,,dictionary
ipúkú fiik me wanu / wálú,178,ordinal number,number,word,,dictionary
ipúkú fiik me tiu,179,ordinal number,number,word,,dictionary
ipúkú walik,180,ordinal number,number,word,,dictionary
ipúkú walik me eú / ew,181,ordinal number,number,word,,dictionary
ipúkú walik me rúú,182,ordinal number,number,word,,dictionary
ipúkú walik me ulungat / unungat / únúngat,183,ordinal number,number,word,,dictionary
ipúkú walik me rúánú,184,ordinal number,number,word,,dictionary
ipúkú walik me nimu,185,ordinal number,number,word,,dictionary
ipúkú walik me wonu / onu,186,ordinal number,number,word,,dictionary
ipúkú walik me fisu,187,ordinal number,number,word,,dictionary
ipúkú walik me wanu / wálú,188,ordinal number,number,word,,dictionary
ipúkú walik me tiu,189,ordinal number,number,word,,dictionary
ipúkú tiwe,190,ordinal number,number,word,,dictionary
ipúkú tiwe me eú / ew,191,ordinal number,number,word,,dictionary
ipúkú tiwe me rúú,192,ordinal number,number,word,,dictionary
ipúkú tiwe me ulungat / unungat / únúngat,193,ordinal number,number,word,,dictionary
ipúkú tiwe me rúánú,194,ordinal number,number,word,,dictionary
ipúkú tiwe me nimu,195,ordinal number,number,word,,dictionary
ipúkú tiwe me wonu / onu,196,ordinal number,number,word,,dictionary
ipúkú tiwe me fisu,197,ordinal number,number,word,,dictionary
ipúkú tiwe me wanu / wálú,198,ordinal number,number,word,,dictionary
ipúkú tiwe me tiu,199,ordinal number,number,word,,dictionary
rúepúkú,200,ordinal number,number,word,,dictionary
